Review,Sentiment,Rating
Bad dirty cold slow cold dirty worst worst rude.,Negative,2.2
Amazing spacious helpful comfortable clean great delicious helpful.,Positive,4.5
Excellent amazing delicious amazing perfect.,Positive,4.0
Perfect clean comfortable perfect clean helpful helpful.,Positive,4.2
Worst noisy bad worst worst cold.,Negative,1.7
Okay typical satisfactory normal typical.,Neutral,3.5
Helpful great delicious clean friendly comfortable friendly delicious.,Positive,4.6
Spacious helpful helpful clean amazing perfect perfect great.,Positive,4.7
Amazing helpful helpful clean spacious perfect excellent.,Positive,4.5
Delicious comfortable helpful great delicious friendly comfortable amazing.,Positive,4.6
Friendly perfect delicious friendly clean excellent delicious perfect friendly clean.,Positive,4.3
Amazing great comfortable amazing spacious helpful perfect comfortable.,Positive,4.5
Slow cold rude slow noisy bad noisy.,Negative,2.1
Excellent perfect friendly clean friendly helpful.,Positive,4.9
Mediocre satisfactory fine satisfactory typical standard average standard fine mediocre.,Neutral,3.2
Cold terrible noisy rude smelly slow cold.,Negative,1.1
Bad cold worst noisy worst terrible bad uncomfortable.,Negative,1.2
Friendly delicious amazing clean perfect excellent great helpful comfortable.,Positive,4.0
Smelly bad terrible bad smelly smelly.,Negative,2.0
Worst worst rude cold terrible uncomfortable bad smelly.,Negative,1.5
Rude smelly slow noisy cold uncomfortable.,Negative,1.8
Mediocre okay decent normal typical normal average normal.,Neutral,3.2
Uncomfortable uncomfortable rude rude smelly dirty terrible.,Negative,1.1
Dirty bad uncomfortable noisy cold worst.,Negative,1.6
Smelly slow terrible cold dirty noisy smelly worst rude noisy.,Negative,1.3
Delicious amazing helpful helpful perfect excellent spacious excellent.,Positive,4.4
Friendly clean amazing helpful amazing excellent excellent comfortable delicious comfortable.,Positive,4.2
Regular typical typical average mediocre satisfactory mediocre mediocre.,Neutral,3.7
Helpful friendly excellent helpful helpful spacious.,Positive,4.2
Standard satisfactory normal standard mediocre mediocre standard.,Neutral,3.8
Smelly rude rude noisy slow.,Negative,1.6
Noisy smelly dirty rude uncomfortable slow worst smelly uncomfortable slow.,Negative,2.3
Fine okay decent decent decent fine.,Neutral,3.4
Satisfactory typical okay decent satisfactory mediocre average normal typical typical.,Neutral,3.6
Friendly spacious perfect perfect spacious helpful delicious perfect.,Positive,4.8
Cold noisy bad slow dirty terrible uncomfortable terrible dirty noisy.,Negative,1.8
Helpful clean delicious clean helpful comfortable friendly delicious.,Positive,4.5
Great clean clean spacious comfortable.,Positive,4.5
Typical mediocre satisfactory standard mediocre.,Neutral,3.4
Delicious spacious excellent perfect perfect amazing delicious spacious amazing.,Positive,4.0
